Name,Email,Age,Contact Number,Age_Group,Contact_Group
##e##a #i##a###,user_1@pseudo.com,79,650286166,Suppressed,Suppressed
A##o#io #e#e#,user_2@pseudo.com,19,861682758,Suppressed,Suppressed
#e### #o##oe,user_3@pseudo.com,30,3082346470,Suppressed,Suppressed
#ea##e# ##o##,user_4@pseudo.com,65,8574272462,Suppressed,Suppressed
A##e# ##e##o#,user_5@pseudo.com,63,2795263153,Suppressed,Suppressed
#a#e# #e##a#,user_6@pseudo.com,18,602838898,Suppressed,Suppressed
#a#e# #i#e#a,user_7@pseudo.com,27,7067517827,Suppressed,Suppressed
##e##ea ##ee#,user_8@pseudo.com,23,9807647326,Suppressed,Suppressed
#o#e## #ou##,user_9@pseudo.com,50,4304860920,Suppressed,Suppressed
#o#e A##e##o#,user_10@pseudo.com,49,2433742000,Suppressed,Suppressed
#i##e### #e##e#a,user_11@pseudo.com,44,78585479,Suppressed,Suppressed
##a## #o#a#e#,user_12@pseudo.com,23,2338748472,Suppressed,Suppressed
#a#ie# ####u#e,user_13@pseudo.com,30,447934450,Suppressed,Suppressed
#e##a ##ei#,user_14@pseudo.com,62,1535915196,Suppressed,Suppressed
#i##ae# #a#e,user_15@pseudo.com,65,9367459842,Suppressed,Suppressed
#ea# #e#e#,user_16@pseudo.com,22,3501767481,Suppressed,Suppressed
A#a##a #a##o#,user_17@pseudo.com,38,9582417272,Suppressed,Suppressed
#a#e# #oo#,user_18@pseudo.com,46,7866366928,Suppressed,Suppressed
#i## #a##e# #o##i#,user_19@pseudo.com,49,2737705452,Suppressed,Suppressed
#a#e #a##a#e,user_20@pseudo.com,66,1213598498,Suppressed,Suppressed
#i#a ##i###,user_21@pseudo.com,59,3789328985,Suppressed,Suppressed
#e##i#a #e###i###,user_22@pseudo.com,56,7019188921,Suppressed,Suppressed
A#a##a A###a#e,user_23@pseudo.com,56,2574306667,Suppressed,Suppressed
#e#o#a# ##ou#,user_24@pseudo.com,48,8484689269,Suppressed,Suppressed
#a#o# #o#e,user_25@pseudo.com,54,5721681383,Suppressed,Suppressed
#i## #a###a #o##a ##,user_26@pseudo.com,78,1475896465,Suppressed,Suppressed
A###o## #o####o#,user_27@pseudo.com,62,9696903713,Suppressed,Suppressed
##a##e# #i##ia##,user_28@pseudo.com,39,7297505574,Suppressed,Suppressed
A#e#i# #a##i#e#,user_29@pseudo.com,56,364549486,50+,486
A##e# #i##ia##,user_30@pseudo.com,70,4304305056,Suppressed,Suppressed
#a#i# #o##i#ue#,user_31@pseudo.com,38,5970302309,Suppressed,Suppressed
#o##ua #i##ia##,user_32@pseudo.com,54,387814087,Suppressed,Suppressed
#a#e### ##a##o##,user_33@pseudo.com,40,9719585870,30-49,870
#e### Au##i#,user_34@pseudo.com,28,2391374378,Suppressed,Suppressed
#a# #u###,user_35@pseudo.com,55,3243291391,Suppressed,Suppressed
##ei#a ##o#a#,user_36@pseudo.com,71,5052987013,Suppressed,Suppressed
#e#e### #a#e#,user_37@pseudo.com,78,7122745513,Suppressed,Suppressed
#a##e## O#ea#,user_38@pseudo.com,28,3685021987,Suppressed,Suppressed
#e##e## #o##i#ue#,user_39@pseudo.com,74,5177714737,Suppressed,Suppressed
###i##o##e# #o##,user_40@pseudo.com,46,5007649170,Suppressed,Suppressed
##e### #ou##,user_41@pseudo.com,78,5252759980,Suppressed,Suppressed
###a# #a#,user_42@pseudo.com,55,8481137409,Suppressed,Suppressed
#e#i##a #i##e#,user_43@pseudo.com,35,7450323260,Suppressed,Suppressed
A###e# #o#e##,user_44@pseudo.com,79,5518434326,Suppressed,Suppressed
E#i# #o##i#ue#,user_45@pseudo.com,50,2641918137,Suppressed,Suppressed
A#e#a###a #e###,user_46@pseudo.com,67,7228714386,Suppressed,Suppressed
##a# #a##o##,user_47@pseudo.com,65,9559205826,50+,826
#i#o### #i##o#,user_48@pseudo.com,76,1536205183,Suppressed,Suppressed
#e#i##a #i#e#e#,user_49@pseudo.com,50,9419979734,Suppressed,Suppressed
#ia#a ##o#a# ###,user_50@pseudo.com,47,6793526636,Suppressed,Suppressed
###i##o##e# ##a#,user_51@pseudo.com,27,1342189967,Suppressed,Suppressed
